avg_dist,pad_mean,pad_std
13.442009879839182,0.8208416107382551,0.5767900520766519
39.003677079353515,0.806764353041988,0.5632589011411424
64.9998240931233,0.8109450328707086,0.566166476473431
90.99817836271482,0.8074698795180724,0.5621878598006949
116.99978666304793,0.7973621523579202,0.5562823930873336
142.99628859647862,0.8015797617835692,0.5629005604460595
169.00064260876286,0.7949620397896181,0.5573953337884268
195.48045663683592,0.7863708759954494,0.5485880055924414
221.69319477943026,0.7172929292929294,0.5219590574238298
247.78772741789106,1.021625,0.45688007293125255
270.52363424289206,0.2168571428571429,0.2711912496330791
298.3715722007011,0.3185,0.3185
326.0108594178047,0.337,0.337
352.2432695041672,0.637,0.0
