avg_dist,spi_mean,spi_std
9.119509359568774,1.6352550850975507,1.4133053046248067
27.000884771901426,1.6320206295717925,1.4128239691017583
45.00015370960287,1.6936651578020874,1.4298475652199873
62.999384181037584,1.755795440284459,1.5175674550478797
80.99906772608242,1.8147094951017333,1.493995517904416
99.4967790609077,1.9709869057809006,1.6786138865058724
118.00083928399582,1.972778964349376,2.091779112471771
136.0013941529695,1.9964213036565974,1.9741857573134354
153.99220629336645,2.2408964523160764,2.9619351313976447
172.01891633383062,2.0310952380952383,1.6175601418056385
190.53809956909993,2.2766363636363636,2.743498153410823
209.09855861195334,1.6539705882352942,1.4386743588803041
228.02579860287597,4.052777777777778,1.8144473157764585
244.06878443051153,0.97275,0.6177088209666428
