,pre_distances,post_distances,post_distances_est
count,1000.0,1000.0,1000.0
mean,90.6824603887476,40.54581731677698,22.075484405768826
std,55.68831002675331,22.581562283390934,10.335004597040973
min,3.5040587260287173,0.8325708294205365,1.6510550964082817
25%,48.417703732883155,23.30432270579939,14.522541157761662
50%,78.88389793870297,38.08620824414676,21.195103065316374
75%,121.19386088430413,52.7131609284457,28.453842345489814
max,274.13652466761624,146.33381814688352,83.27018135607818
