avg_dist,spi_mean,spi_std
15.775675344163748,0.7917573818897639,0.5758563510989694
46.50087818108446,0.7963985136251033,0.5483898339438996
77.49998741719821,0.7961982205492342,0.555478518432826
108.49398334962824,0.8020912656262766,0.5683433471327947
139.49985219641795,0.8078190744701536,0.5636827069186146
170.49947296402877,0.8148350121246036,0.5610614772609358
201.99609131078472,0.8101164077843241,0.5653399358001839
233.50583622242158,0.8049750673854448,0.5634020769590409
264.46639410072623,0.7883180722891567,0.5753727843743511
295.3670848266356,0.7855479452054794,0.5124329569538733
326.16054986631866,0.7182999999999999,0.5587400498741194
357.1145105907698,0.8883636363636362,0.38083383938817794
388.44725392290513,0.5362,0.5097828557336938
421.82118979711794,0.337,0.0
