,candidate PRE,candidate POST,"Random~N(0,120)",Randomly sampled input
count,5.0,5.0,5.0,5.0
mean,18.384372329711915,6.504312815402133,34.722586378991096,24.769449665300705
std,13.1606182670106,6.935860870742168,25.614206674484407,3.7631212894671373
min,6.197041034698486,2.808090921189788,18.354978169793522,20.724179270527426
25%,7.141709804534912,3.508648129920794,22.05757858067778,22.784254599717052
50%,17.71737289428711,3.5211378451796578,24.829184407758422,23.109572443532656
75%,22.460994720458984,3.789166582378881,28.295901735311208,27.19806926602414
max,38.40474319458008,18.894520598341543,80.07528900141456,30.031172746702264
