,candidate PRE,candidate POST,"Random~N(0,120)",Randomly sampled input
count,10.0,10.0,10.0,10.0
mean,33.13030195236206,14.606598642579016,25.67729589739049,24.402763826981612
std,21.939075606016804,9.300378730722466,14.670172381729486,9.555357757248299
min,7.752546310424805,3.812650821688481,8.137311933071185,14.833185620555641
25%,14.990779876708984,5.7612355417158,18.581198546823202,18.342855194440745
50%,33.59852409362793,14.772642631969104,23.9050471788867,22.946913521624854
75%,47.45657157897949,19.364448553474947,27.032685510328594,26.67648703382353
max,74.95479583740234,29.446933397892188,62.97268384663094,47.607195058927005
