,candidate PRE,candidate POST,"Random~N(0,120)",Randomly sampled input
count,5.0,5.0,5.0,5.0
mean,114.5624786376953,27.568432235430624,25.117146983357078,24.769449665300705
std,26.048260566465487,10.40976979815315,11.787614018679996,3.7631212894671373
min,70.02127075195312,19.14740650765691,10.418676825711573,20.724179270527426
25%,112.58779907226562,20.21134753611268,18.464007063668284,22.784254599717052
50%,128.41249084472656,20.639164556662525,23.214411043806006,23.109572443532656
75%,130.2334442138672,37.78510795595383,33.467173912114205,27.19806926602414
max,131.55738830566406,40.059134620767175,40.02146607148533,30.031172746702264
