,candidate PRE,candidate POST,"Random~N(0,120)",Randomly sampled input
count,10.0,10.0,10.0,10.0
mean,28.95932388305664,13.539062231220788,39.168994380575306,24.402763826981612
std,13.663250577521866,6.07332106556677,26.9041406681654,9.555357757248299
min,9.714994430541992,3.3128081705918917,1.8712592000473798,14.833185620555641
25%,18.137176990509033,10.988310425263027,17.259849926576877,18.342855194440745
50%,25.113093376159668,13.338557156761475,39.44500430352342,22.946913521624854
75%,41.47828388214111,16.193862736212616,57.47671613075583,26.67648703382353
max,48.1153564453125,24.85880924957788,84.15273033193218,47.607195058927005
