|   iter    |  target   |    x1     |    x2     |
  0%|                                                                                                                                                                                                       | 0/1000 [00:00<?, ?it/s]100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1000/1000 [02:04<00:00,  8.05it/s]
took 125.5633 sec
|  121      | -0.09708  | -4.911    | -5.039    |
|  122      | -0.09601  | -4.937    | -5.072    |
|  123      | -0.441    | -4.586    | -5.152    |
|  124      | -0.3282   | -4.682    | -5.082    |
|  125      | -0.346    | -4.701    | -5.173    |
|  126      | -0.3931   | -4.629    | -5.131    |
|  127      | -0.3916   | -4.641    | -5.156    |
|  128      | -0.2281   | -4.773    | -5.018    |
|  129      | -0.4387   | -4.637    | -5.246    |
|  130      | -0.2932   | -4.716    | -5.074    |
  0%|                                                                                                                                                                                                       | 0/1000 [00:00<?, ?it/s]100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1000/1000 [02:02<00:00,  8.15it/s]
took 123.9572 sec
|  131      | -0.198    | -4.824    | -5.091    |
|  132      | -0.05343  | -5.027    | -5.046    |
|  133      | -0.115    | -5.051    | -4.897    |
|  134      | -0.04842  | -5.001    | -5.048    |
|  135      | -0.06246  | -5.061    | -5.014    |
|  136      | -0.1391   | -4.876    | -5.063    |
|  137      | -0.1618   | -5.006    | -5.162    |
|  138      | -0.03634  | -5.029    | -5.022    |
|  139      | -0.1389   | -4.997    | -5.139    |
|  140      | -0.154    | -4.979    | -5.153    |
  0%|                                                                                                                                                                                                       | 0/1000 [00:00<?, ?it/s]100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1000/1000 [02:04<00:00,  8.02it/s]
took 125.8437 sec
|  141      | -0.1179   | -4.978    | -4.884    |
|  142      | -0.07589  | -5.066    | -5.038    |
|  143      | -0.08983  | -5.074    | -4.949    |
|  144      | -0.08178  | -5.078    | -4.975    |
|  145      | -0.1458   | -4.855    | -4.99     |
|  146      | -0.2462   | -4.886    | -4.782    |
|  147      | -0.07304  | -4.969    | -5.066    |
|  148      | -0.02407  | -4.99     | -4.978    |
|  149      | -0.051    | -5.032    | -5.04     |
|  150      | -0.04941  | -4.961    | -5.031    |
=================================================
maximizing took: 875.118 sec
RESULT: (-4.989824376174465, -4.978182216901111) -0.024073975160717964
