,candidate PRE,candidate POST,"Random~N(0,120)",Randomly sampled input
count,20.0,20.0,20.0,20.0
mean,33.0906277179718,15.662003793222459,32.265617167647704,26.692108434966787
std,15.897052811400373,9.834062570950913,19.624064352259715,10.734986120052023
min,10.163294792175293,3.4166352622396103,5.000374765428038,10.691607301369547
25%,21.17826795578003,7.1429438647042955,19.832685789081008,18.00730787488704
50%,32.30496120452881,13.531496984321663,24.38086740294122,24.038409304413747
75%,44.12475299835205,21.96531662374513,49.117551306295496,33.534205964202485
max,56.373966217041016,36.515848497514376,70.10059769695968,47.607195058927005
