,candidate PRE,candidate POST,"Random~N(0,120)",Randomly sampled input
count,50.0,50.0,50.0,50.0
mean,86.99889152526856,26.261745487885676,41.272207344341076,24.52515329998926
std,34.70377318543925,11.978729232422431,23.22514830263663,10.2328417281616
min,15.452615737915039,3.2641372563511695,10.045874941636846,5.652400760099665
25%,62.156662940979004,18.004781337208033,21.42224199801143,19.068367096994074
50%,96.76082229614258,26.73149413630528,35.41949022457756,24.259277037008168
75%,110.97393035888672,37.82497721535848,60.89773961467117,32.21149590039909
max,163.6307830810547,52.574798442199324,95.42347014952279,42.976433233047665
