,candidate PRE,candidate POST,"Random~N(0,120)",Randomly sampled input
count,50.0,50.0,50.0,50.0
mean,84.07633792877198,25.680050876877353,40.504390457137745,17.68255397170119
std,33.17594168266524,11.019938853231775,24.77043158038432,9.0347684462252
min,12.984855651855469,4.51224800848306,8.030128835162156,3.3128081705918917
25%,55.823832511901855,18.408467086821126,22.464158116925123,10.34450125450507
50%,84.42109680175781,25.04545160652995,35.49086299380206,15.362721090492714
75%,101.99275970458984,34.296498486823715,49.90202448366311,23.19923302610833
max,150.1719512939453,50.57608169257223,107.36984313422379,38.66976170534107
