,candidate PRE,candidate POST,"Random~N(0,120)",Randomly sampled input
count,50.0,50.0,50.0,50.0
mean,92.73488636016846,27.54251498549771,42.66607999133391,30.418761867584816
std,36.2946223158369,10.702970585906188,24.603880109540295,16.41453420683676
min,17.597549438476562,5.1423158806540785,9.338592457195507,8.815963890068067
25%,64.65823173522949,19.49208715256214,24.811968748323448,20.96760752563207
50%,100.5694694519043,28.673166358321055,36.199394949954566,26.41720985437714
75%,119.9291000366211,38.10123165286423,59.24700778962141,38.53246367505078
max,152.10472106933594,48.00831310592213,104.22703916296646,101.9361452034341
