,pad_dist_R0603,post_angle,spi_volume
count,1328.0,1328.0,1328.0
mean,59.49721467607593,2.351367469126506,70.23291302710844
std,5.691937370704471,3.526650797707179,7.5813269736296744
min,45.11305222818198,0.0,52.580850000000005
25%,55.46821255297135,0.0,64.6796375
50%,60.93115188021622,1.137,69.256125
75%,64.31248188223083,2.43,75.3339125
max,66.99681409890677,25.197001,97.87345
