,spi_dist_R0603,post_angle,spi_volume
count,5193.0,5193.0,5193.0
mean,131.2510733412082,1.9034384748700175,72.69445991719624
std,6.796400239918512,1.731495300666815,8.095677057602577
min,121.00129125414188,0.0,52.3917
25%,125.21550306177275,0.96,67.2073
50%,130.66524948919874,2.141,72.1486
75%,136.63208559007987,2.441,77.35095000000001
max,144.9975003153917,20.042,171.08865
