,pad_dist_R0603,post_angle,spi_volume
count,17020.0,17020.0,17020.0
mean,101.87828426137102,1.497391363043478,78.99689012044654
std,6.287266310553707,1.7046446998940434,9.243151008054003
min,90.00246046645405,0.0,50.29385
25%,96.59812762866297,0.0,73.0672
50%,102.24541005487124,1.127,79.28722499999999
75%,107.38789393521606,2.289,84.75841249999999
max,111.99919105248682,38.367001,167.07684999999998
