,pad_dist_R1005,post_angle,spi_volume
count,1.0,1.0,1.0
mean,352.2432695041672,24.646,67.2229
std,,,
min,352.2432695041672,24.646,67.2229
25%,352.2432695041672,24.646,67.2229
50%,352.2432695041672,24.646,67.2229
75%,352.2432695041672,24.646,67.2229
max,352.2432695041672,24.646,67.2229
