,pad_dist_R1005,post_angle,spi_volume
count,9823.0,9823.0,9823.0
mean,142.04177719196838,0.9935679527639213,83.70289407003969
std,7.414089965833641,0.9348553809121909,9.291409075307577
min,130.0005752246821,0.0,53.5467
25%,135.6214072038004,0.214,77.5775
50%,141.68546471978,0.722,83.72455
75%,148.15159940120247,1.412,90.0595
max,155.99200196827513,11.709,130.8435
