,pad_dist_R1005,post_angle,spi_volume
count,24.0,24.0,24.0
mean,243.9130855505973,8.458958291666667,75.70826875
std,7.19347526416704,4.606341741811905,8.993900842706545
min,236.26328042575895,2.262,61.795
25%,238.5515260567654,6.1165,69.57203750000001
50%,242.54265118499103,7.3309999999999995,72.489125
75%,248.14402500436833,9.4635,84.2082125
max,259.31217441002315,21.396,92.00710000000001
