,spi_dist_R1005,post_angle,spi_volume
count,146.0,146.0,146.0
mean,292.8656466735166,5.718780815068493,75.42285308219176
std,8.885996285142056,2.776065827155853,8.321517684363839
min,280.02077635160333,0.0,57.48285
25%,285.2621514683048,4.06525,69.6679
50%,292.0214781559074,5.82,75.415325
75%,300.74761925028963,7.25775,80.5401
max,310.71339330166796,21.150999,102.38885
