,spi_dist_R0402,post_angle,spi_volume
count,629.0,629.0,629.0
mean,135.28191612628618,7.132799694753577,73.57923553259141
std,5.091407562079442,6.537946264257632,6.012810755166142
min,127.01150339515615,0.0,57.660399999999996
25%,130.7379571768905,3.1460000000000004,69.37555
50%,135.20657382829526,5.393,72.9033
75%,139.4626218947948,9.025,77.003
max,144.9912849107829,32.276001,103.2406
