,pad_dist_R0603,post_angle,spi_volume
count,3.0,3.0,3.0
mean,284.9654959510553,35.38666666666666,81.46563333333333
std,2.9937941078701393,0.13105677905523178,3.0898253083035745
min,282.6853835489099,35.311001,77.91755
25%,283.27034355344045,35.311001,80.416325
50%,283.855303557971,35.311001,82.9151
75%,286.1055521521279,35.424499499999996,83.23967499999999
max,288.35580074628484,35.53799799999999,83.56424999999999
