,spi_dist_R0402,post_angle,spi_volume
count,34.0,34.0,34.0
mean,207.4757043603466,23.326853029411765,71.42690147058822
std,5.347327374038961,12.237903819536683,4.929084917385864
min,200.33064154382785,2.048,63.9244
25%,202.4628449568426,11.613,67.02525
50%,206.03807352843145,23.351,70.81895
75%,210.3485952325298,30.069000000000006,75.42655
max,217.86647568007882,53.745998,82.23910000000001
