,spi_dist_R0603,post_angle,spi_volume
count,2841.0,2841.0,2841.0
mean,15.837901147307852,1.204897571277719,84.37441527631115
std,5.625369089793219,0.9907052199390703,5.2474882890872765
min,0.01722624288694408,0.0,61.0887
25%,11.795421686895505,0.0,81.0562
50%,16.71234049943485,1.057,84.17765
75%,20.623562286852607,2.289,87.3751
max,23.99633695550963,5.784,111.9372
