,pad_dist_R1005,post_angle,spi_volume
count,99.0,99.0,99.0
mean,217.9883660700217,5.0956868787878795,77.35370303030304
std,6.819705483835398,4.013789734372065,8.922938915719651
min,209.0269680497836,0.199,60.9298
25%,212.38144365245398,2.524,70.97127499999999
50%,215.7046780921307,4.558,74.72065
75%,221.91406085223582,6.82,83.0724
max,234.35942150907692,32.005001,101.07365
