,spi_dist_R0603,post_angle,spi_volume
count,14498.0,14498.0,14498.0
mean,84.28095610416459,1.2860673886053249,77.68111182576908
std,7.280485401476432,1.06258423532809,9.685806190185012
min,72.00009890108153,0.0,51.71315
25%,77.89740911329973,0.0,70.8506
50%,84.18616885860297,1.078,77.76079999999999
75%,90.64012630000764,2.289,83.711225
max,96.999483815544,9.353,156.3717
