,pad_dist_R0402,post_angle,spi_volume
count,7.0,7.0,7.0
mean,244.6411167390303,28.29742871428572,75.90159285714286
std,5.204961535017452,4.5232235717356755,4.226828876891493
min,238.77668060722837,20.483,70.25810000000001
25%,241.40007853686626,25.8830005,72.73585
50%,242.76055946727584,30.069000000000006,75.71465
75%,247.82997419343695,31.037000500000005,79.414175
max,252.49047163810164,33.689999,81.03835000000001
