,pad_dist_R0402,post_angle,spi_volume
count,1472.0,1472.0,1472.0
mean,166.42566373599257,4.227893346467392,71.20947404891304
std,5.260548477438106,5.887913258552241,5.533573362210761
min,159.00261272953733,0.0,56.361450000000005
25%,162.01433037130118,1.366,67.4181875
50%,165.24808753798442,3.278,70.3257
75%,170.5782624436734,4.3892500000000005,74.1559125
max,178.95530423014176,53.745998,98.62185
