,pad_dist_R1005,post_angle,spi_volume
count,1490.0,1490.0,1490.0
mean,17.484621780708974,0.910565100671141,81.10922244966443
std,6.124533257356035,0.7448199543485158,7.638692026859918
min,0.884896483388867,0.0,62.66605
25%,13.335399878010376,0.199,75.70627499999999
50%,18.578667432423988,0.722,80.839725
75%,22.56012629806454,1.37,86.0984625
max,25.999123276289495,7.03,106.77785
