,spi_dist_R0603,post_angle,spi_volume
count,2156.0,2156.0,2156.0
mean,155.52776501024545,3.5578678112244897,72.82678912337661
std,6.8688665723497255,3.251252700278806,8.305781443933272
min,145.00522787570998,0.0,52.04945
25%,149.6356737313149,1.1225,66.9700875
50%,154.77965248651188,2.807,71.87809999999999
75%,161.22918683930897,4.574000000000002,77.93287500000001
max,168.97791283766318,22.761999,113.84955
