,pad_dist_R0402,post_angle,spi_volume
count,9.0,9.0,9.0
mean,34.874730319956626,9.822111222222222,79.93992222222222
std,2.4402988499946283,8.777449304714521,6.853791820641656
min,32.24645491766209,0.0,70.93575
25%,33.0923291223816,5.854,76.12405
50%,33.370933698036154,6.901,79.57885
75%,37.21111497010949,8.404,84.89455000000001
max,38.49883448207934,26.565001,90.52265
