,pad_dist_R1005,post_angle,spi_volume
count,4373.0,4373.0,4373.0
mean,166.37033278229956,1.1373818888634804,82.2115776469243
std,7.104188854525303,1.2578028520776952,8.824626752742196
min,156.00229673248597,0.0,56.9269
25%,160.299602320301,0.618,76.2459
50%,165.278167432552,0.755,82.3714
75%,171.80263325786092,1.414,88.26545
max,181.99898848503977,23.962,115.52975
