,spi_dist_R0603,post_angle,spi_volume
count,15.0,15.0,15.0
mean,298.07599488722667,25.76006673333334,77.87811333333333
std,5.781923730764392,9.40786046144094,9.696163576171813
min,292.7275228771281,6.884,56.174350000000004
25%,293.2719983808753,21.1754995,73.658475
50%,295.5267805813317,26.565001,77.91755
75%,300.22648613859815,32.823,82.07897500000001
max,310.23160719905263,39.560001,100.91205
