,pad_dist_R0402,post_angle,spi_volume
count,19140.0,19140.0,19140.0
mean,127.94592137733528,1.8509143678683389,79.442572776907
std,5.622328544344223,1.8389369995648346,7.292668332063292
min,119.00044862255943,0.0,58.9302
25%,123.08236771890489,0.0,74.135375
50%,127.47559616847539,1.561,79.15315
75%,132.5786965722979,3.337,84.26675
max,138.99892150088812,31.608,131.00189999999998
