,pad_dist_R0603,post_angle,spi_volume
count,1905.0,1905.0,1905.0
mean,164.87030159908673,3.702722835170604,75.26740598425198
std,6.090453425560788,4.340443044587187,8.378222992957394
min,157.00066700625803,0.0,52.52355
25%,159.72009834030408,0.987,69.14015
50%,163.42525428453715,2.289,74.91965
75%,168.89365567921715,5.377999999999999,81.2932
max,179.97124547700233,27.759001,104.84495000000001
