,spi_dist_R0402,post_angle,spi_volume
count,14343.0,14343.0,14343.0
mean,62.469491363366096,1.7820520116433103,77.0573606776825
std,5.103202287389752,1.5938452921432085,6.984439386871313
min,54.00002735289677,0.0,57.3716
25%,58.07497411552739,0.0,72.12514999999999
50%,62.222385174203886,1.6,76.3588
75%,66.74076495976126,3.337,81.29350000000001
max,71.9987410091784,26.565001,118.90530000000001
