,spi_dist_R1005,post_angle,spi_volume
count,5.0,5.0,5.0
mean,391.4836830468512,22.8322002,78.36204000000001
std,8.452015774329134,10.267899980224788,13.145156358398706
min,378.1518060324663,5.724,67.2229
25%,388.58172162856573,23.962,69.9082
50%,394.1519020810358,24.646,74.455
75%,397.79028367884405,26.440001,80.00655
max,398.742701813344,33.389,100.21754999999999
