,pad_dist_R0402,post_angle,spi_volume
count,7036.0,7036.0,7036.0
mean,146.5997666367468,2.2266003418135303,74.54081627345083
std,5.359970301908375,2.738178654820058,6.498679440353743
min,139.0003215207226,0.0,57.3716
25%,142.02619922174065,0.0,69.80095
50%,145.6439888567214,1.6130000000000002,73.75829999999999
75%,150.58401907915143,3.337,78.451075
max,158.99872464640404,32.904999,105.90350000000001
