,pad_dist_R0402,post_angle,spi_volume
count,48.0,48.0,48.0
mean,53.63816716327319,6.432374979166666,75.69124270833333
std,4.8076725573025225,7.432837411437646,5.200354488101152
min,41.15209285692416,0.0,66.29375
25%,50.83103738553044,1.6119999999999999,72.114475
50%,55.355575550563515,3.4699999999999998,74.896725
75%,57.40870959035483,8.13525,79.390625
max,58.842904034104215,26.565001,89.36615
