,spi_dist_R0402,post_angle,spi_volume
count,367.0,367.0,367.0
mean,152.67527042687828,9.253504098092645,72.73503351498637
std,5.172515327956978,7.51724198787695,5.478681753346096
min,145.00389915100928,0.0,58.33385
25%,148.22496622724088,3.5905,68.6437
50%,151.89680920683796,7.717,72.92855
75%,156.51803124654373,10.647,76.28225
max,162.98051343572362,45.0,92.0195
