,spi_dist_R1005,post_angle,spi_volume
count,5601.0,5601.0,5601.0
mean,198.86110468922496,1.382000357079093,76.75570175861453
std,8.812059533664343,1.2995451839008416,7.997722104176592
min,186.0027573208979,0.0,55.21045
25%,191.21063160584953,0.637,70.56165
50%,197.5112004907489,1.357,76.3064
75%,205.62580171930173,2.001,82.71039999999999
max,217.9894253006715,11.678,104.01455
