,spi_dist_R0402,post_angle,spi_volume
count,9.0,9.0,9.0
mean,225.4918795491604,21.914111222222218,74.8805611111111
std,4.640184505558552,15.520040326706104,4.201206030175872
min,220.66751908732616,1.062,70.27625
25%,222.18024007102267,10.124,71.639
50%,225.1838315450708,26.565001,73.74825
75%,225.54860290640727,33.689999,78.46555000000001
max,235.38407811842575,45.0,82.46145
