,spi_dist_R1005,post_angle,spi_volume
count,11.0,11.0,11.0
mean,356.90390014574206,9.41790909090909,76.45327272727272
std,9.620354022414757,6.9214677266392775,10.468162798322435
min,343.8986629895376,1.357,57.07065
25%,348.06010065041005,6.6405,72.54485
50%,357.20278224423316,7.98,77.69255
75%,364.85382108391354,9.881,80.723975
max,370.330358192002,22.639,95.92535
