,pad_dist_R1005,post_angle,spi_volume
count,2.0,2.0,2.0
mean,326.0108594178047,35.632000000000005,93.0817
std,9.157168899808804,3.17208102040285,18.491054460062564
min,319.5357631922793,33.389,80.00655
25%,322.773311305042,34.5105,86.54412500000001
50%,326.0108594178047,35.632000000000005,93.0817
75%,329.24840753056736,36.7535,99.619275
max,332.48595564333004,37.875,106.15684999999999
