,pad_dist_R1005,post_angle,spi_volume
count,13232.0,13232.0,13232.0
mean,116.631021044553,0.9839532193923821,82.81183877720677
std,7.447136562126007,0.985734934968928,9.535882083748081
min,104.00128572551141,0.0,54.69435
25%,110.16184537504517,0.207,76.4177
50%,116.44119721537044,0.682,82.688425
75%,122.9906569398802,1.37,88.77267499999999
max,129.99828760058446,23.573999,158.37955
