,pad_dist_R1005,post_angle,spi_volume
count,14027.0,14027.0,14027.0
mean,91.19556851222181,1.017015398873601,82.92500648392385
std,7.417808194118995,0.9731163777880666,9.57095524131146
min,78.00040116444137,0.0,52.7957
25%,84.82889540945575,0.207,76.206125
50%,91.27665628225341,0.722,82.86315
75%,97.57915659640906,1.414,89.3169
max,103.99595556098828,10.988,157.68540000000002
