,spi_dist_R0603,post_angle,spi_volume
count,407.0,407.0,407.0
mean,228.55354463851003,11.772874678132677,71.85005945945946
std,6.5697268477155655,6.200514819068447,7.998519284805107
min,218.07318330990728,0.324,50.29385
25%,222.5811581063358,7.952999999999999,66.311125
50%,227.727146253826,10.172,71.5643
75%,234.1067212024752,13.226,76.8674
max,241.9280334920183,35.311001,102.84205
