avg_dist,spi_mean,spi_std
2.001130266533048,1.204897571277719,0.990530846054073
6.000403324942153,1.2417941752644641,1.0056081111400073
9.999984743162143,1.2519350575529344,1.0213038334176856
14.083298559718793,1.2860673886053249,1.0625475888058489
18.166734946085235,1.3863206550857738,1.2140928833926572
22.1665659641278,1.9034384748700175,1.731328578284197
26.165261726114426,3.5578678112244897,3.2504986117379246
30.24945242561295,6.550181065909091,4.7862263086693355
34.33114797527226,9.23867848108747,5.7406438994532785
38.333434733493796,11.772874678132677,6.192892794283117
42.308353617231994,14.178854194444444,7.33549233955415
46.40100701943021,18.874509960784312,8.708488489058134
50.246594173015055,25.76006673333334,9.088856688154687
54.40345404635502,40.336999750000004,1.839865939274159
