,pad_dist_R1005,post_angle,spi_volume
count,7.0,7.0,7.0
mean,269.93529853639535,13.609142857142858,85.45679285714286
std,6.391042933935179,11.537603743449393,14.271904939525665
min,262.46932852783306,3.329,66.71035
25%,264.47702582832756,6.066,75.759525
50%,270.88681700194724,8.054,84.77995
75%,274.3294763051905,19.9289995,94.66319999999999
max,278.57793995795106,31.891001,105.86179999999999
