,candidate PRE,candidate POST,"Random~N(0,120)",Randomly sampled input
count,50.0,50.0,50.0,50.0
mean,92.10365772247314,26.716278220610114,40.33836248172449,30.418761867584816
std,42.03905569740203,11.094739231549022,27.235196759566136,16.41453420683676
min,16.606029510498047,7.050503190859284,7.790748437997761,8.815963890068067
25%,51.50529479980469,19.902165165176495,21.93592064132411,20.96760752563207
50%,100.23210525512695,24.4166499646368,30.365555965463663,26.41720985437714
75%,121.39434051513672,35.05939554539327,50.04899702878096,38.53246367505078
max,168.23867797851562,56.62104002808924,110.5147495012911,101.9361452034341
