,candidate PRE,candidate POST,"Random~N(0,120)",Randomly sampled input
count,50.0,50.0,50.0,50.0
mean,119.26577697753906,31.554549571452007,45.05517248168401,17.68255397170119
std,20.730910731719394,9.65260739295025,24.97544787429484,9.0347684462252
min,73.83486938476562,16.448132362109618,6.699045488712164,3.3128081705918917
25%,106.51317596435547,21.72692851806282,21.797325407744108,10.34450125450507
50%,119.2792854309082,31.739064309505544,41.11527994398763,15.362721090492714
75%,131.47256088256836,39.24363583826623,66.60319484684996,23.19923302610833
max,163.9108428955078,56.44795194927416,85.3344225771506,38.66976170534107
