,candidate PRE,candidate POST,"Random~N(0,120)",Randomly sampled input
count,50.0,50.0,50.0,50.0
mean,125.00148391723633,30.632364499125547,39.45401726423881,24.52515329998926
std,20.542066881229847,9.400144171203726,26.029115352433962,10.2328417281616
min,83.03712463378906,17.965802794173467,4.753100410547487,5.652400760099665
25%,109.35897636413574,22.12583928615107,18.172402006326383,19.068367096994074
50%,124.06591033935547,28.766595172628644,31.44236147780333,24.259277037008168
75%,139.98140335083008,38.00147734328749,49.490778999399495,32.21149590039909
max,167.39431762695312,57.19436022056197,102.38928449114054,42.976433233047665
