avg_dist,spi_mean,spi_std
12.006781599198288,1.204897571277719,0.990530846054073
36.00241994965292,1.2417941752644641,1.0056081111400073
59.999908458972854,1.2519350575529344,1.0213038334176856
84.49979135831276,1.2860673886053249,1.0625475888058489
109.00040967651142,1.3863206550857738,1.2140928833926572
132.9993957847668,1.9034384748700175,1.731328578284197
156.99157035668657,3.5578678112244897,3.2504986117379246
181.4967145536777,6.550181065909091,4.7862263086693355
205.98688785163355,9.23867848108747,5.7406438994532785
230.0006084009628,11.772874678132677,6.192892794283117
253.85012170339195,14.178854194444444,7.33549233955415
278.40604211658126,18.874509960784312,8.708488489058134
301.47956503809036,25.76006673333334,9.088856688154687
326.42072427813014,40.336999750000004,1.839865939274159
